accuracy,val_accuracy,loss,val_loss
0.6802761554718018,0.7691783308982849,0.9333787560462952,0.6958063840866089
0.8158029317855835,0.8162291049957275,0.5387172698974609,0.5488967299461365
0.8507500886917114,0.8670303225517273,0.4366808533668518,0.4096752107143402
0.8775144815444946,0.8482782244682312,0.3609105050563812,0.40828758478164673
0.8943061828613281,0.8571428656578064,0.3145134449005127,0.4384585916996002
0.9092226624488831,0.8827139735221863,0.27373114228248596,0.33891284465789795
0.9179168343544006,0.9079440832138062,0.24878668785095215,0.27772897481918335
0.930617094039917,0.90589839220047,0.21344126760959625,0.2714645266532898
0.9359870553016663,0.9311285614967346,0.19785729050636292,0.2240634709596634
0.9425503015518188,0.9543129801750183,0.171660915017128,0.1645292490720749
